ID,time
0,0.008439983709999979
1,0.01651898428000436
2,0.025198404800001982
3,0.033025478199996315
4,0.041190386869996015
5,0.04939366659999678
6,0.05777107541999499
7,0.06604848750999281
8,0.07469860416999836
9,0.08226710894000235
10,0.09071282871000336
11,0.0991141929299988
12,0.10706296989999942
13,0.11559667363999893
14,0.12355406851000794
15,0.1314533565800002
16,0.13956320191000146
17,0.1480713282800025
18,0.15605447976999812
19,0.16266456592999362
20,0.17018281067000202
21,0.17820270412000128
